,Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (annual % growth),Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Air transport, passengers carried",Broad money (% of GDP),CO2 emissions (kt),Cereal production (metric tons),Consumer price index (2010 = 100),Current account balance (% of GDP),Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Forest area (% of land area),GDP per capita (current US$),GDP per capita growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Mortality rate, under-5 (per 1,000 live births)","People using at least basic sanitation services, urban (% of urban population)",Population ages 15-64 (% of total population),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)",Urban population
4578,South Africa,ZAF,2000,72.2476425170898,4.5658409864626,62.2841861517741,80.888474886447,8000757.0,47.3643581454259,284730.0,14549009.0,59.898771742989,-0.125569953016457,4579.95273186341,7.57999992370605,14.6552110725503,3374.71842279184,2.74209440515851,2.74896224692446,15.0602810875446,5.348559732,5.33895158255483,58.72,71.5,71.19661271,61.620298726366,1.40902190052539,29.8799991607666,25582582.0
4579,South Africa,ZAF,2001,70.2,1.68690939073231,60.8249933062038,80.796148678169,7948374.0,51.4195683669222,320600.0,10714748.0,63.3141427050053,0.25300164315535,4302.11822922125,7.67999982833862,14.6252050548599,2971.81976918833,1.33981173728463,0.667909377219672,14.5737803066035,6.346619318,5.70190483482843,58.62,73.1,71.49090049,62.1793895865189,1.33327746238591,30.6900005340576,26143327.0
4580,South Africa,ZAF,2002,76.7,7.6385808063086,59.2719899017689,80.8085137953491,8052660.0,52.117445159726,331420.0,13048225.0,69.3256348361141,0.781933978129667,4528.81614714751,7.76999998092651,14.5951990371695,2797.08729059913,2.39793020930182,2.93365521424862,15.036119660525,6.710322437,9.49470667101602,58.53,74.3,71.7854199,62.7856788011973,1.26392260814983,33.2900009155273,26720456.0
4581,South Africa,ZAF,2003,78.8,5.31378219590606,57.7089747121222,80.7260796808151,9159815.0,53.933693311777,353110.0,11819153.0,73.2629274642054,-0.782444924016494,4559.77384716944,7.82999992370605,14.5651930194792,4217.11478019175,1.69680816971494,1.4754287973787,15.6571145272722,7.007691726,5.67941806432656,58.48,75.7,72.08017097,63.4079319344451,1.22385352306713,32.310001373291,27305505.0
4582,South Africa,ZAF,2004,80.9,4.73795765805171,56.2653257229743,80.4622905143064,9878598.0,55.0433217131858,379970.0,12026899.0,72.7559259259259,-2.50726392401176,4589.9050592695,7.8899998664856,14.5351870017888,5409.1334888271,3.28905505397188,3.97838729268119,16.9603513170499,8.425118683,-0.692030138335916,58.47,77.7,72.37515369,63.9937231995274,1.21776220298327,29.4500007629395,27898739.0
4583,South Africa,ZAF,2005,80.8,6.69620086818254,55.0221735936672,80.359247871139,11844657.0,59.760936349771,377640.0,14175144.0,74.2567731629393,-2.774763681674,4636.93068141697,7.84000015258789,14.5051809840985,6033.10149088554,3.98202620194472,3.93758907438726,16.8318153447643,7.48854253,2.06285222531756,58.51,78.8,72.67036806,64.5069012396064,1.23774061841899,29.1200008392334,28506191.0
4584,South Africa,ZAF,2006,80.7,6.53571658610024,54.2436216662739,79.8687648896619,12932671.0,65.4243148230338,379560.0,9452300.0,76.6655898710212,-4.00009533041509,4721.93299558849,8.39000034332275,14.4751749664081,6266.53398662041,4.27776820795123,4.27516153960808,18.4902026867601,7.607139675,3.24390167452648,58.6,79.2,72.96581408,64.8325030807211,1.26362297174921,28.3400001525879,29131015.0
4585,South Africa,ZAF,2007,82.0,3.8494469421297,53.6494995481832,79.8704135719526,12870324.0,71.0936792582327,396900.0,9507863.0,81.4018459353923,-4.86191575999906,4851.69249381196,7.48999977111816,14.4451689487177,6780.88455469658,4.00849453683342,2.66938246724526,19.3259650755187,8.065375174,6.17781206971621,58.76,75.3,73.26149174,65.0831918780383,1.29149827532559,26.5400009155273,29774437.0
4586,South Africa,ZAF,2008,81.9,-2.80436947886869,53.2064451662069,80.0501199416366,13135437.0,73.2952082257562,426560.0,15339478.0,89.5870311205774,-5.18616664587458,4665.17603882982,5.69000005722046,14.4151629310274,6350.65270995806,1.82349722375925,1.99761642062069,21.2872491181391,8.43,10.055282028471,59.01,68.9,73.55740106,65.2714047523727,1.3341170229958,22.4099998474121,30442138.0
4587,South Africa,ZAF,2009,82.6,4.26749400515727,52.8348716179234,79.9511990041959,12503629.0,69.7119446561274,404020.0,14570877.0,96.0951366702165,-2.3845891902915,4428.15425706747,5.44000005722046,14.385156913337,6532.73696795513,-2.8987326378043,-2.11858565386174,18.7669441984248,10.0,7.26456214502708,57.38,60.3,73.85354202,65.4300945038128,1.39153543190923,23.5200004577637,31137755.0
