,Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (annual % growth),Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Air transport, passengers carried",Broad money (% of GDP),CO2 emissions (kt),Cereal production (metric tons),Consumer price index (2010 = 100),Current account balance (% of GDP),Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Forest area (% of land area),GDP per capita (current US$),GDP per capita growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Mortality rate, under-5 (per 1,000 live births)","People using at least basic sanitation services, urban (% of urban population)",Population ages 15-64 (% of total population),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)",Urban population
4221,Russian Federation,RUS,2000,100.0,22.2807919841122,44.2756654298684,13.2566688683588,17687894.0,,1489500.0,64242691.0,30.7595536540074,17.4742424828314,5198.40570401268,1.05999994277954,49.4018499097143,1771.59405905827,10.4637179957182,11.6142152557545,18.6937601947688,1.977230109,20.7987606558703,70.96,19.3,93.60803081,69.3117579538986,-0.420614990249978,10.5799999237061,107528803.0
4222,Russian Federation,RUS,2001,100.0,2.81322355970104,43.666300589917,13.2390216624218,20301199.0,23.9077687705991,1490530.0,83303483.0,37.3657852105702,10.4545347443772,5274.3633046315,1.12000000476837,49.4403819433422,2100.35251171829,5.54671704833198,6.99832871098394,21.9498173349418,2.944367787,21.4770072117159,69.66,18.3,93.68583833,69.6057458290973,-0.424090524785415,8.97999954223633,107067910.0
4223,Russian Federation,RUS,2002,100.0,3.43193867708868,43.0480317864701,13.2257977869402,20892156.0,26.4067863902867,1491720.0,84730327.0,43.2653684455772,7.9523289090993,5304.41525955994,1.17999994754791,49.4746894866839,2377.52957748244,5.18274681321141,4.66797740748055,20.0295461890033,4.128271818,15.7887307914462,70.61,17.2,93.76364585,69.9065893012946,-0.460024258081391,7.88000011444092,106569238.0
4224,Russian Federation,RUS,2003,100.0,7.01207791238032,42.3924873537479,13.2029341345878,22723072.0,29.997076567568,1522190.0,65335462.0,49.1768425137193,7.69798573457628,5478.13045818384,1.1599999666214,49.5103852150482,2975.12535330125,7.78796520165758,6.54272662116857,20.858958480261,8.298860616,13.6632930228667,70.49,16.1,93.84145337,70.2284244418065,-0.453780668020263,8.21000003814697,106133030.0
4225,Russian Federation,RUS,2004,100.0,14.9587459018764,41.6632583400525,13.1846021330511,25948923.0,31.1190439073204,1534120.0,75986000.0,54.5315199244747,9.908322542702,5633.84550039094,1.0900000333786,49.5454456106165,4102.36483299792,7.63249250134936,8.50988327425732,20.9012750793662,12.8593889,10.8886157326216,71.13,14.9,93.91926089,70.5899334444253,-0.402681471328549,7.76000022888184,105771342.0
4226,Russian Federation,RUS,2005,100.0,10.7690469230209,40.8392666731611,13.1661598924145,26522315.0,33.3802789464406,1530850.0,76192100.0,61.4490089758499,11.0454005698574,5770.10063642248,1.07000005245209,49.5807773333032,5323.46308263383,6.80660616778128,6.39840111868115,20.0774969175315,15.2266732,12.6853039507349,71.57,13.8,93.99706841,71.0029258565385,-0.381452794741516,7.11999988555908,105433226.0
4227,Russian Federation,RUS,2006,100.0,12.1595802412648,40.3356438822677,13.1573709193088,28836949.0,37.6220390035343,1590090.0,76494549.0,67.3903013768283,9.32545931833775,6098.53347618072,1.08000004291534,49.6276507015009,6920.18912483291,8.55494495721565,7.88956511620648,21.1715918032687,18.02327746,9.66865454789265,71.86,12.8,94.07487593,71.2577342037478,-0.327445270108383,7.05999994277954,105152927.0
4228,Russian Federation,RUS,2007,100.0,14.1772500601269,39.705743477998,13.1558444571717,33187839.0,42.976748070357,1591510.0,80207513.0,73.4603471089942,5.55456642217766,6286.04939176058,1.07000005245209,49.6634743255174,9101.25504905672,8.6857606113937,9.47623260419748,24.1645140336108,24.66,9.00729868861076,72.7,11.9,94.15268345,71.5790182265725,-0.17108203294568,6.0,105037446.0
4229,Russian Federation,RUS,2008,100.0,5.19284862028739,39.157910111349,13.1584362579663,37940321.0,39.507860510671,1613140.0,106417890.0,83.8261661028972,6.25797790659258,6399.68374911202,1.10000002384186,49.7019381603444,11635.2729337888,5.24621403349268,4.50020231494503,25.5012197086864,26.83,14.1107677840442,73.0,11.2,94.23049097,71.8608092143818,-0.0439492591634852,6.21000003814697,105055527.0
4230,Russian Federation,RUS,2009,100.0,-17.6047694637812,38.8842839031578,13.1584362579663,34402844.0,49.2988178555608,1495170.0,95615476.0,93.5896759401721,4.12087479027539,6095.38027602538,1.25,49.7377636874446,8562.81327716515,-7.82774909202175,-7.95168946957934,18.9263757355943,29.0,11.6473295764118,72.85,10.7,94.30829849,72.002387297632,0.0301077605196216,8.30000019073486,105149987.0
4231,Russian Federation,RUS,2010,100.0,11.8742167779552,38.9538293079746,13.1584362579663,43855539.0,51.4391068859568,1583160.0,59619074.0,100.0,4.42333446864605,6409.89436516487,1.26999998092651,49.7735892145447,10674.9957825675,4.45309443157595,4.42902394337399,22.6150505520224,43.0,6.8493923025503,72.73,10.4,94.38610601,71.9663503454861,0.0448957880908489,7.36999988555908,105261487.0
4232,Russian Federation,RUS,2011,100.0,9.57996158617216,39.4108528495506,13.1584362579663,50555805.0,47.3864657151412,1661780.0,91780915.0,108.440464859326,4.75451989097714,6485.759030014,1.23000001907349,49.7710839739218,14311.0843159612,4.21872587417505,4.19132528746357,24.2607379312639,49.0,8.44046485932559,73.06,10.1,94.46391353,71.7304266907395,0.077981777433695,6.53999996185303,105407937.0
4233,Russian Federation,RUS,2012,100.0,4.0705144888679,40.2178638251218,13.1584362579663,58727125.0,47.2894158000922,1666860.0,68753479.0,113.943539767608,3.22792765583216,6617.1341613974,1.16999995708466,49.7685787332989,15420.8745413273,3.84915563203991,3.71211223448036,24.5536933545168,63.8,5.0747430079915,73.16,9.8,94.54172105,71.3175889432866,0.168305035277726,5.44000005722046,105669982.0
4234,Russian Federation,RUS,2013,100.0,-0.358309315713484,41.2909732465045,13.1584362579663,64072322.0,51.2000295948384,1624020.0,90364971.0,121.638956306017,1.45817186958541,6539.20737452554,1.27999997138977,49.766073492676,15974.6446270517,1.53896381728107,1.12371004210956,23.2716819870194,67.97,6.75371026220953,73.19,9.4,94.61952857,70.7759294758889,0.212950704549247,5.46000003814697,105998572.0
4235,Russian Federation,RUS,2014,100.0,-0.421540211995278,42.4952548286628,13.1584362579663,72189961.0,54.2953308870049,1606860.0,103138503.0,131.155272814079,2.79290928233835,6602.65747938354,1.33000004291534,49.763568252053,14095.648742954,-1.04525746317218,-0.8194020259334,22.3908642287739,70.52,7.82341183865503,73.43,8.9,94.69733609,70.1777752619242,0.217642262118,5.15999984741211,106354644.0
4236,Russian Federation,RUS,2015,95.5,-5.82186631799887,43.7415513843021,13.1584362579663,76846126.0,61.8265826106004,1557530.0,102447609.0,151.529464141176,4.97089265241902,,1.28999996185303,49.7610630114301,9313.01362484996,-2.18388838737465,-1.42064424345202,22.148725318159,70.09924123,15.5344050528404,73.68,8.2,94.77514361,69.5693060285516,0.192557946508244,5.57000017166138,106703732.0
4237,Russian Federation,RUS,2016,100.0,-3.74573944028477,45.2957877292164,13.1584362579663,77458318.0,59.4458285299143,1530900.0,117755457.0,162.200847296653,1.91643636708399,,1.27999997138977,49.7726995451512,8704.89841329594,0.0102484619192325,0.111184025051784,23.0954224731096,73.09143462,7.04244762954798,74.24,7.5,94.85295113,68.8251195317792,0.170245238698228,5.55999994277954,107050095.0
4238,Russian Federation,RUS,2017,100.0,3.17113671971032,46.8370275450124,13.1584362579663,89373638.0,59.5222074143758,1557190.0,131295318.0,168.175238863746,2.04412670112104,,1.35000002384186,49.7843360788722,10720.3326583505,1.70938991615724,1.75637005342553,23.6067558621651,76.00813853,3.68332944412231,74.15,6.9,94.93075865,68.1027136368961,0.106870569429971,5.21000003814697,107349517.0
4239,Russian Federation,RUS,2018,100.0,6.40086095900303,48.3432768507184,13.1584362579663,99327311.0,59.1186442311284,1607550.0,109837875.0,173.015822116403,6.97989834084279,,1.45000004768372,49.7843360788722,11287.3552780815,2.81552569192898,2.94750811015146,21.9180994729701,80.86472187,2.87829723647886,74.43,6.3,95.00856617,67.4112110994962,-0.0130668924933287,4.84999990463257,107539205.0
4240,Russian Federation,RUS,2019,100.0,0.652893089463106,49.8106020661285,,108857906.0,59.0759724941086,,,180.750263654162,3.87563288675225,,1.54999995231628,49.7843360788722,11497.6492498593,2.07881130890352,1.30956512094646,22.759108684949,82.64216156,4.47036660760175,73.96,5.8,95.08637369,66.7509502286713,-0.0495686654330689,4.5,107708298.0
4241,Russian Federation,RUS,2020,,,51.2200198137742,,62447448.0,70.381030270803,,,186.862621885623,2.42698710893008,,,49.7843360788722,10126.7217935297,-2.7715653324851,-1.82313144731275,23.9879493606627,84.99466978,3.38165937237896,,5.4,95.16418121,66.128809931132,-0.209476796881133,5.59000015258789,107723564.0
