,Country Name,Country Code,Year,Access to electricity (% of population),Adjusted net national income (annual % growth),Age dependency ratio (% of working-age population),Agricultural land (% of land area),"Air transport, passengers carried",Broad money (% of GDP),CO2 emissions (kt),Cereal production (metric tons),Consumer price index (2010 = 100),Current account balance (% of GDP),Electric power consumption (kWh per capita),"Employers, total (% of total employment) (modeled ILO estimate)",Forest area (% of land area),GDP per capita (current US$),GDP per capita growth (annual %),GNI per capita growth (annual %),Gross capital formation (% of GDP),Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Mortality rate, under-5 (per 1,000 live births)","People using at least basic sanitation services, urban (% of urban population)",Population ages 15-64 (% of total population),Population growth (annual %),"Unemployment, total (% of total labor force) (national estimate)",Urban population
42,India,IND,2000,59.3410453796387,2.86907566666525,64.180372675695,60.8689656564162,17299483.0,54.6451291823787,940170.0,234931192.0,54.3383216485078,-0.982343805635065,393.646247811898,0.980000019073486,22.7334950003195,443.314193811316,2.02108859495532,1.74403014308389,26.6791832811369,0.52753245,4.00943591045187,59.66,91.7,48.38035558,60.9086204587155,1.76812551036934,2.73000001907349,292322757.0
43,India,IND,2001,55.8,5.29268471418919,63.4281013029749,60.7048321836142,16862737.0,57.7390677682671,953880.0,242963796.0,56.3919261013738,0.290494936396436,393.810198122643,1.04999995231628,22.7975675957473,451.572997293746,3.02737666441584,3.21723552425537,26.6583979675763,0.660146377,3.77929312235644,59.79,88.1,49.59453461,61.188987161801,1.72876856952673,,300118526.0
44,India,IND,2002,62.3,4.78962834666399,62.6032527994971,60.7293849367178,17633019.0,62.619524516526,987530.0,206636708.0,58.815172903837,1.3709411110454,410.644783909356,1.12999999523163,22.8616401911751,470.986786810734,2.06487609899125,2.25038182883335,27.2151205284732,1.537875582,4.2971520392956,59.93,84.5,51.05061091,61.4993846950302,1.68956166096073,,308796506.0
45,India,IND,2003,64.0231323242188,7.84767957045477,61.7315764808457,60.6247834817149,19455085.0,63.17925360411,1015890.0,236592700.0,61.0535954523922,1.44356106282279,430.483163325867,1.21000003814697,22.9257127866029,546.726613494985,6.09370510002513,6.02233248760822,29.5037700208993,1.686489971,3.80585899528851,60.09,81.1,52.51824849,61.8308447925579,1.65149126857663,,317584393.0
46,India,IND,2004,64.4,7.81724977847536,60.8392022546978,60.6671622062499,23934074.0,64.6357080581913,1087190.0,229845504.0,63.353638086215,0.110018663965381,451.611546107878,1.29999995231628,22.9897853820307,627.774241726543,6.19365269939453,6.2301834720071,36.0869752927918,1.976136492,3.7672517347751,60.25,77.8,53.99744733,62.1738969981162,1.61530829494259,,326495070.0
47,India,IND,2005,67.0934371948242,8.81293338330444,59.9417432429456,60.5834137744308,27879461.0,65.5481218955356,1137740.0,239997492.0,66.0438512553292,-1.25350731467244,468.025754019185,1.39999997615814,23.0538579774586,714.8610153644,6.23194973457434,6.20562049628947,38.0757925089956,2.388075,4.24634362031927,60.42,74.4,55.48820744,62.522764845341,1.57970914338086,2.42000007629395,335503761.0
48,India,IND,2006,67.9,8.46969836494699,59.2142970399348,60.5094191760365,40288794.0,68.0630217871644,1214250.0,242785588.0,69.8720985315016,-0.988988302947644,509.214054753734,1.35000002384186,23.1179305728864,806.753280628799,6.40328423693353,6.33498173554044,38.8973024622183,2.805499865,5.79652337561635,59.57,71.1,56.99052882,62.8084298076055,1.5456964390645,,344622641.0
49,India,IND,2007,70.1307601928711,8.18657068339763,58.4720498786624,60.4132261981239,51897450.0,72.2804239220528,1336100.0,260485904.0,74.3249644718144,-0.663718192795811,541.73839519579,1.30999994277954,23.1820031683142,1028.33477194577,6.04817414971588,6.42006736899799,41.9308268663087,3.95,6.37288135593231,58.73,67.9,58.50441147,63.10261028742,1.50922198555755,,353850624.0
50,India,IND,2008,71.6510848999023,2.22342428663637,57.7057029109493,60.4593046525785,49877935.0,77.3729561105341,1423880.0,266835300.0,80.5305542396968,-2.58337653773941,561.247581414481,1.27999997138977,23.246075763742,998.522341514181,1.5875983042843,1.40521158572382,37.8505499934364,4.38,8.34926704907579,57.93,64.6,60.02985538,63.4092478376017,1.46488991482359,,363154576.0
51,India,IND,2009,75.0,9.41561745970465,56.8825138062336,60.5639061075814,54446373.0,79.0751963452197,1568530.0,250783392.0,89.2941733775462,-1.95146414773762,598.498241908181,1.25,23.3101483591698,1101.96083821252,6.35108827096114,6.35287794948995,40.1122358307654,5.12,10.8823529411765,57.14,61.4,61.56686057,63.7419669083826,1.41058271379931,,372465918.0
