Year;Stage;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Winner;Points
2018;Round of 16;Sweden;1;0;Switzerland;Sweden;3
2018;Round of 16;Colombia;1;1;England;Draw;1
2018;Quarter-finals;Uruguay;0;2;France;France;3
2018;Quarter-finals;Brazil;1;2;Belgium;Belgium;3
2018;Quarter-finals;Sweden;0;2;England;England;3
2018;Quarter-finals;Russia;2;2;Croatia;Draw;1
2018;Semi-finals;France;1;0;Belgium;France;3
2018;Semi-finals;Croatia;2;1;England;Croatia;3
2018;Play-off for third place;Belgium;2;0;England;Belgium;3
2018;Final;France;4;2;Croatia;France;3
2021;Friendly;Qatar;0;4;Serbia and Montenegro;Serbia and Montenegro;3
2021;Friendly;Qatar;1;3;Portugal;Portugal;3
2021;Friendly;Serbia and Montenegro;4;0;Qatar;Serbia and Montenegro;3
2021;Friendly;Portugal;3;1;Qatar;Portugal;3
