,Org,Symbol,regularMarketPrice,previousClose,bidPrice,askPrice,DailyChange
0,XP Inc,XPBR31.SA,111.28,114.48,111.35,111.4,-2.8%
1,Santander BR,SANB4F.SA,16.59,16.71,16.58,16.59,-0.72%
2,BKR 20YR TRS,BTLT39.SA,37.35,37.66,37.35,37.59,-0.82%
3,Brasilagro,AGRO3F.SA,29.85,30.38,29.85,29.86,-1.74%
4,Santander BR,SANB4F.SA,16.59,16.71,16.58,16.59,-0.72%
5,FII PLUR URBCI,PURB11.SA,95.0,93.98,50.0,0.0,1.09%
